features,split,repeat,fold,auc,n_test
39項目から追跡中のケガの記録を除く,人ごとに10分割,4,2,0.4152886961236107,569
39項目から追跡中のケガの記録を除く,人ごとに10分割,4,3,0.5274994853496192,553
39項目から追跡中のケガの記録を除く,人ごとに10分割,4,4,0.5464520098441346,513
39項目から追跡中のケガの記録を除く,人ごとに10分割,4,5,0.4553281068524971,671
39項目から追跡中のケガの記録を除く,人ごとに10分割,4,6,0.5638015516537361,615
39項目から追跡中のケガの記録を除く,人ごとに10分割,4,7,0.4186261294992761,673
39項目から追跡中のケガの記録を除く,人ごとに10分割,4,8,0.4328345373237014,718
39項目から追跡中のケガの記録を除く,人ごとに10分割,4,9,0.612584197583663,644
39項目から追跡中のケガの記録を除く,人ごとに10分割,4,pooled,0.4790865685097292,6181
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,0,0,0.7578978585253169,619
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,0,1,0.7494280630401627,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,0,2,0.6945221148957804,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,0,3,0.7898290543975597,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,0,4,0.7641077783426539,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,0,5,0.7412144128113879,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,0,6,0.8010612608032537,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,0,7,0.7523532539012415,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,0,8,0.7150920974450385,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,0,9,0.7306188823216687,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,0,pooled,0.7489834241796371,6181
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,1,0,0.82200162327527,619
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,1,1,0.7197032282663955,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,1,2,0.7925775292323335,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,1,3,0.7350343162175902,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,1,4,0.7643143111337062,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,1,5,0.722801220132181,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,1,6,0.7865721911540418,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,1,7,0.7375457359977484,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,1,8,0.743987866278888,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,1,9,0.8045626544078557,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,1,pooled,0.763589224454133,6181
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,2,0,0.6804020727976525,619
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,2,1,0.7521765378749365,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,2,2,0.7344464921199797,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,2,3,0.7351137519064566,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,2,4,0.7191471784443315,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,2,5,0.7688580325368581,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,2,6,0.7909729283172343,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,2,7,0.7526190699565313,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,2,8,0.7497263658254371,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,2,9,0.7958845420145729,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,2,pooled,0.7474127111592594,6181
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,3,0,0.746425672722732,619
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,3,1,0.8115467717336045,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,3,2,0.7584360701576004,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,3,3,0.7866357397051348,618
全257項目（項目選択なし）,行をランダムに10分割（論文と同じ）,3,4,0.786969369598373,618
